airport,lat,long,totalFlights,totalDelayedFlights,delayedFlightsPercentage
Abilene Regional,32.41132,-99.68189722,21202,4188,0.197528535044
Adak,51.87796389,-176.6460306,541,338,0.624768946396
Adams ,34.72939611,-92.22424556,325288,107199,0.329551043998
Akron-Canton Regional,40.91631194,-81.44246556,78926,24224,0.306920406457
Albany Cty,42.74811944,-73.80297861,287140,108064,0.376346033294
Albert J Ellis,34.82916444,-77.61213778,11175,4486,0.401431767338
Albuquerque International,35.04022222,-106.6091944,754155,267250,0.354370122853
Alexandria International,31.32737167,-92.54855611,16781,4312,0.256957273106
Amarillo International,35.2193725,-101.7059272,130360,38129,0.292490027616
Aniak,61.58159694,-159.5430428,450,122,0.271111111111
Arcata,40.97811528,-124.1086189,22907,8241,0.359759025625
Asheville Regional,35.43619444,-82.54180556,55568,21535,0.387543190325
Aspen-Pitkin Co/Sardy ,39.22316,-106.868845,13011,5262,0.404427023288
Atlantic City International,39.45758333,-74.57716667,8614,2917,0.33863478059
Austin Straubel International,44.48507333,-88.12959,84492,18831,0.222873171425
Austin-Bergstrom International,30.19453278,-97.66987194,792838,248379,0.313278374649
Babelthoup/Koror,7.367222,134.544167,2131,681,0.319568277804
Baltimore-Washington International,39.17540167,-76.66819833,1691656,756827,0.447388239689
Bangor International,44.80744444,-68.82813889,53419,17485,0.32731799547
"Baton Rouge Metropolitan, Ryan ",30.53316083,-91.14963444,146646,54570,0.372120616996
Bellingham Intl,48.79275,-122.5375278,6929,2446,0.353009092221
Bemidji-Beltrami County,47.50942417,-94.93372333,187,41,0.219251336898
Benedum,39.29663889,-80.22808333,8,5,0.625
Bert Mooney,45.95479528,-112.49746,10760,2603,0.241914498141
Bethel,60.77977639,-161.8379975,18997,7605,0.400326367321
Billings Logan Intl,45.8076625,-108.5428611,91256,24327,0.266579731744
Binghamton Regional,42.20848278,-75.97961361,25619,8762,0.342011788126
Birmingham International,33.56294306,-86.75354972,401338,142647,0.355428591362
Bishop,42.96550333,-83.74345639,54857,17018,0.31022476621
Bismarck Municipal,46.77411111,-100.7467222,48104,10303,0.214181772826
Blue Grass ,38.03697222,-84.60538889,127992,47238,0.369069941871
Boeing Field/King County Intl,47.52998917,-122.3019561,1,1,1.0
Boise Air Terminal,43.56444444,-116.2227778,235504,72383,0.307353590597
Bradley International,41.93887417,-72.68322833,638703,237567,0.371952221925
Brownsville/S.Padre Island International,25.90683333,-97.42586111,14518,3167,0.218142994903
Buchanan ,37.98965639,-122.0568972,4352,945,0.217141544118
Buffalo Niagara Intl,42.94052472,-78.73216667,478402,188043,0.393064828324
Burbank-Glendale-Pasadena,34.20061917,-118.3584969,573128,189265,0.330231641099
Burlington International,44.47300361,-73.1503125,107994,40918,0.378891419894
Bush ,33.369955,-81.96449611,52032,19293,0.370791051661
Capital,39.84395194,-89.67761861,5568,1819,0.326688218391
Capital City,42.7787,-84.58735806,65821,15845,0.240728642834
Cedar City Muni,37.70097028,-113.098575,3769,830,0.220217564341
Central Illinois Regional,40.47798556,-88.91595278,21952,6836,0.311406705539
Central Wisconsin,44.77761917,-89.66677944,7527,2060,0.273681413578
Charleston AFB/International,32.89864639,-80.04050583,217587,79982,0.367586298814
Charlotte/Douglas International,35.21401111,-80.94312583,2502092,1292676,0.516638077257
Charlottesville-Albermarle,38.13863889,-78.45286111,18817,5968,0.31716001488
Cherry Capital,44.74144472,-85.582235,33954,10657,0.31386581846
Cheyenne,41.1557225,-104.8118381,2,2,1.0
Chicago Midway,41.7859825,-87.75242444,1152510,473421,0.410773876149
Chicago O'Hare International,41.979595,-87.90446417,6396479,3232387,0.505338483875
Chico Municipal,39.79538278,-121.8584231,7106,2348,0.330424992964
Chippewa Valley Regional,44.86525722,-91.48507194,2122,217,0.102262016965
Cincinnati Northern Kentucky Intl,39.04614278,-84.6621725,1886052,837798,0.444207264699
City of Colorado Springs Muni,38.80580556,-104.70025,262861,80054,0.304548791947
Cleveland-Hopkins Intl,41.41089417,-81.84939667,1392555,470709,0.338018247035
